Unnamed: 0,radio,MCC,MNC,TAC,CID,unit,LON,LAT,RANGE,SAM,changeable,created,updated,averageSignal,Country,Network,Continent
40488857,GSM,651,1,117,11201,0,26.953123,-29.841163,27324,7,1,1369925573,1443966345,0,Lesotho,Vodacom,Africa
40488858,GSM,651,1,117,11202,0,26.999908,-29.819307,14303,4,1,1369925762,1427057060,0,Lesotho,Vodacom,Africa
40488859,GSM,651,1,117,11783,0,26.957738,-29.713117,27521,11,1,1369929494,1440496229,0,Lesotho,Vodacom,Africa
40488860,GSM,651,1,504,1860,0,27.025681,-29.831314,5652,3,1,1374475962,1375075586,0,Lesotho,Vodacom,Africa
40488861,GSM,651,1,504,27201,0,27.025681,-29.837494,4965,2,1,1374476070,1375075585,0,Lesotho,Vodacom,Africa
40488862,GSM,651,1,504,64680,0,27.027053833008,-29.792861938477,1000,1,1,1374456252,1374456252,0,Lesotho,Vodacom,Africa
40488863,GSM,651,1,504,27202,0,27.027053833008,-29.792861938477,1000,1,1,1374456253,1374456253,0,Lesotho,Vodacom,Africa
40488864,GSM,651,1,117,10142,0,26.937532,-29.727408,19133,6,1,1375095705,1401153293,0,Lesotho,Vodacom,Africa
40488865,UMTS,651,1,98,87189,0,27.716445922852,-29.444046020508,1000,4,1,1367876729,1367876729,0,Lesotho,Vodacom,Africa
40488866,UMTS,651,1,98,128010,0,27.480239868164,-29.313583374023,1000,5,1,1367911958,1367911958,0,Lesotho,Vodacom,Africa
40488867,UMTS,651,1,98,72759,0,27.536544799805,-29.379501342773,1000,2,1,1368783082,1368783082,0,Lesotho,Vodacom,Africa
40488868,UMTS,651,1,98,76401,0,27.536544799805,-29.379501342773,1000,3,1,1368783259,1368783259,0,Lesotho,Vodacom,Africa
40488869,GSM,651,1,116,10123,0,29.065017700195,-29.279251098633,1000,5,1,1373350266,1373350266,0,Lesotho,Vodacom,Africa
40488870,UMTS,651,1,99,87190,0,27.723141,-29.449711,1000,8,1,1378315129,1490933056,0,Lesotho,Vodacom,Africa
40488871,UMTS,651,1,99,87187,0,27.724931,-29.448951,1000,28,1,1378315187,1491053156,0,Lesotho,Vodacom,Africa
40488872,UMTS,651,1,99,87189,0,27.716751,-29.450684,1000,18,1,1378315340,1491394542,0,Lesotho,Vodacom,Africa
40488873,UMTS,651,1,99,87192,0,27.716652,-29.4505,1000,20,1,1379239404,1491394542,0,Lesotho,Vodacom,Africa
40488874,UMTS,651,1,89,142033,0,28.054275,-28.873787,1794,8,1,1383160049,1473855200,0,Lesotho,Vodacom,Africa
40488875,UMTS,651,1,96,130232,0,27.496719360352,-29.350662231445,1000,8,1,1383827630,1383827630,0,Lesotho,Vodacom,Africa
40488876,UMTS,651,1,98,77762,0,27.510796,-29.294186,1000,8,1,1383981858,1491266160,0,Lesotho,Vodacom,Africa
40488877,GSM,651,1,103,65483,0,27.514572143555,-29.292984008789,1000,1,1,1383962172,1383962172,0,Lesotho,Vodacom,Africa
40488878,UMTS,651,1,98,77759,0,27.510624,-29.290752,1000,8,1,1383982593,1487559629,0,Lesotho,Vodacom,Africa
40488879,UMTS,651,1,98,131019,0,27.514572143555,-29.294357299805,1000,1,1,1383962854,1383962854,0,Lesotho,Vodacom,Africa
40488880,UMTS,651,1,96,71540,0,27.516632,-29.29985,1000,2,1,1383982834,1490141835,0,Lesotho,Vodacom,Africa
40488881,UMTS,651,1,96,70540,0,27.510681,-29.324799,1030,6,1,1396351460,1436090868,0,Lesotho,Vodacom,Africa
40488882,GSM,651,1,117,11781,0,26.997125,-29.72289,23580,4,1,1397647234,1440496229,0,Lesotho,Vodacom,Africa
40488883,GSM,651,1,117,12383,0,26.95303,-29.706214,28222,8,1,1397647234,1440496229,0,Lesotho,Vodacom,Africa
40488884,GSM,651,1,117,65402,0,26.92555,-29.697236,10976,11,1,1397647234,1427057060,0,Lesotho,Vodacom,Africa
40488885,GSM,651,1,117,65401,0,26.910322,-29.690782,3057,3,1,1397647234,1401153293,0,Lesotho,Vodacom,Africa
40488886,GSM,651,1,117,12442,0,26.914318,-29.692862,2729,11,1,1397647234,1406080742,0,Lesotho,Vodacom,Africa
40488887,GSM,651,1,117,65411,0,26.983101,-29.721459,4812,2,1,1397647234,1427057060,0,Lesotho,Vodacom,Africa
40488888,GSM,651,1,117,12441,0,27.118327,-29.526978,26815,3,1,1398430190,1402625002,0,Lesotho,Vodacom,Africa
40488889,GSM,651,1,117,10141,0,26.899337768555,-29.684371948242,1000,1,1,1400894638,1400894638,0,Lesotho,Vodacom,Africa
40488890,GSM,651,1,117,65360,0,26.899337768555,-29.684371948242,1000,1,1,1400894638,1400894638,0,Lesotho,Vodacom,Africa
